name,biography
مرتضی نیک نژاد,مرتضی نیک نژاد، در ۴ اردیبهشت ۱۳۲۱ در تهران، استان تهران متولد شد و در ۴ اردیبهشت ۱۳۴۴ درگذشت. او عضو ائتلاف اسلامی بود.
نورالدین الموتی,نورالدین الموتی، در سال ۱۹۰۱ در ورک، تهران به دنیا آمد و در سال ۱۹۶۵ در تهران درگذشت. او به‌عنوان وزیر دادگستری فعالیت می‌کرد و در دوران نخست‌وزیری علی امینی، ریشه‌کن کردن فساد و دزدی از جمله رویدادهای مهم مرتبط با او بود.
رسول پرویزی,رسول پرویزی، نویسنده، سیاستمدار، نماینده مجلس و معاون نخست وزیر، در سال ۱۹۱۹ در تنگستان بوشهر به دنیا آمد و در ۱۰ ژانویه ۱۹۷۷ درگذشت. او در دهه‌های ۱۹۴۰ و ۱۹۵۰ فعالیت داشت و به عنوان نماینده مجلس شورای اسلامی در دوره‌های ۲۱، ۲۲ و ۲۳، سناتور دوره هفتم مجلس سنای ایران و معاون نخست وزیر فعالیت کرد.
سواک ساگینیان,سواک ساگینیان، در سال ۱۹۲۱ در تبریز، آذربایجان شرقی به دنیا آمد. او وکیل دادگستری، نیکوکار و نماینده مجلس بود.
انوشیروان محسنی بندپی,انوشیروان محسنی بندپی، سیاستمدار و معاون گردشگری وزارت میراث‌فرهنگی، در سال ۱۹۵۶ میلادی در نوشهر استان مازندران به دنیا آمد. او در دوران دولت چهاردهم فعالیت داشته است.
مصطفی کواکبیان,مصطفی کواکبیان، سیاستمدار، در تاریخ ۱۸ مارس ۱۹۶۳ در سمنان، استان سمنان به دنیا آمد. او نمایندهٔ تهران، ری، شمیرانات، اسلامشهر و پردیس در دوره دهم مجلس شورای اسلامی و همچنین نمایندهٔ سمنان، مهدی‌شهر و سرخه در دوره هشتم مجلس شورای اسلامی بود.
پروانه اسکندری,"پروانه اسکندری، که با نام پروانه فروهر نیز شناخته می‌شود، در سال ۱۹۳۸ در تهران به دنیا آمد و در سال ۱۳۷۷ در ایران درگذشت. او در دهه ۱۹۹۰ به‌عنوان رهبر دانشجویی، فعال سیاسی، روزنامه‌نگار و ویراستار فعالیت می‌کرد. از آثار او می‌توان به ""نشریه جبهه ملی ایران"" اشاره کرد. وی همچنین در ""قتل‌های زنجیره‌ای ایران"" نقش داشت. آرامگاه او در بهشت زهرا قرار دارد."
بهروز برومند,"بهروز برومند، که با نام ""پدر علم نفرولوژی ایران"" نیز شناخته می‌شود، در سال ۱۹۴۰ در خراسان رضوی، شهرستان خدا به دنیا آمد. او به عنوان پزشک، استاد دانشگاه و عضو فرهنگستان علوم پزشکی فعالیت می‌کرد. از رویدادهای مهم زندگی او می‌توان به عضویت در حزب ملت ایران و عضویت در هیئت اجرایی جبههٔ ملی ایران اشاره کرد. دوران فعالیت او با انقلاب مقارن بوده است."
ناصر تکمیل همایون,ناصر تکمیل همایون، جامعه‌شناس، تاریخ‌نگار و استاد، در سال ۱۹۳۶ در شهر قزوین، استان قزوین به دنیا آمد و در سال ۲۰۲۲ درگذشت.
هما دارابی,هما دارابی، در سال ۱۹۴۰ در تهران متولد شد و در ۲۱ فوریه ۱۹۹۴ در تهران درگذشت. او به عنوان متخصص پزشکی کودکان و روان‌پزشک فعالیت می‌کرد. از رویدادهای مهم زندگی او می‌توان به خودسوزی در اعتراض به حجاب اجباری اشاره کرد.
منوچهر اقبال,منوچهر اقبال، در ۱۴ اکتبر ۱۹۰۹ در کاشمر، خراسان رضوی به دنیا آمد و در ۲۵ نوامبر ۱۹۷۷ در تهران، تهران درگذشت. او سیاستمدار، پزشک بیماری‌های عفونی، رئیس دانشگاه تهران، مدیرعامل شرکت ملی نفت ایران و نخست‌وزیر ایران بود.
عبدالرضا انصاری,عبدالرضا انصاری، سیاستمدار، اقتصاددان، استاندار خوزستان، وزیر کار، وزیر کشور و مدیرعامل سازمان شاهنشاهی خدمات اجتماعی، در ۲۵ مه ۱۹۲۵ در تهران متولد شد و در ۱۲ اکتبر ۲۰۲۰ در منطقه ۱۶ پاریس، ایل-دو-فرانس درگذشت. دوران فعالیت او به پادشاهی محمدرضا پهلوی تعلق دارد.
محمودخان مدیرالملک,محمودخان مدیرالملک، در سال ۱۸۸۴ در تبریز، آذربایجان شرقی به دنیا آمد و در ۲۹ اوت ۱۹۶۹ در تهران، تهران درگذشت. او سیاستمدار و نخست‌وزیر بود. از دوران قاجار و رضاشاه در تاریخ ایران شناخته می‌شود. او اولین رئیس دولت در تاریخ ایران بود که عنوان نخست‌وزیر برایش به کار رفت.
نصرت‌الله کاسمی,نصرت‌الله کاسمی، متولد اول ژانویه ۱۹۱۱ در تهران، به‌عنوان پزشک، شاعر و نمایندهٔ مجلس فعالیت می‌کرد.
سید محمدصادق خرازی,"سید محمدصادق خرازی، در سوم فوریه ۱۹۶۳ در تهران به دنیا آمد. او در دوران خاتمی فعالیت می‌کرد و به‌عنوان سفیر، معاون نمایندهٔ دائم ایران در سازمان ملل متحد، سفیر ایران در فرانسه، دبیرکل حزب ندای ایرانیان، عضو هیئت امناء سازمان جهانی تبلیغات، عضو شورای سیاست گذاری مرکز گفتگوی تمدن‌ها، مدیرمسئول وبگاه تاریخ ایرانی و دیپلماسی ایرانی، و مشاور ارشد سید محمد خاتمی فعالیت می‌کرد. از آثار او می‌توان به ""وبگاه تاریخ ایرانی"" و ""دیپلماسی ایرانی"" اشاره نمود."
امیر شهلا,امیر شهلا، سیاستمدار و مدیر اجرایی، در تاریخ سوم فوریه ۱۹۷۸ میلادی در مشهد، رضوی خراسان متولد شد. او نماینده مردم مشهد در پنجمین دوره شورای اسلامی شهر مشهد بود.
داریوش آشوری,"داریوش آشوری، نویسنده، اندیشمند، زبان‌شناس و مترجم، در تاریخ ۸ فوریه ۱۹۳۸ در تهران به دنیا آمد. او در فرانسه با خانواده زندگی می‌کرد. از آثار او می‌توان به ""علوم سیاسی""، ""علوم اجتماعی""، ""سخن‌سنجی""، ""فلسفه"" و ""زبان‌شناسی"" اشاره کرد."
جلال‌الدّین سادات آل احمد,"جلال‌الدّین سادات آل احمد، نویسنده، منتقد ادبی، مترجم و روشنفکر سوسیالیست، در ۱۲ فوریه ۱۹۲۳ در تهران به دنیا آمد و در ۹ سپتامبر ۱۹۶۹ در اسالم، گیلان درگذشت. از آثار او می‌توان به ""غرب‌زدگی"" اشاره کرد. او در دهه ۱۹۴۰ فعالیت می‌کرد."
مهرنوش ابراهیمی,مهرنوش ابراهیمی، در تاریخ ۲۷ سپتامبر ۱۹۴۷ در تهران متولد شد و در تاریخ ۱۰ ژانویه ۱۹۷۱ در سوادکوه کشته شد. او به‌عنوان چریک و پزشک فعالیت می‌کرد. از وقایع زندگی او می‌توان به کشته شدن در درگیری اشاره نمود.
مسعود احمدزاده هروی,مسعود احمدزاده هروی، انقلابی و بنیانگذار سازمان مجاهدین خلق ایران، در تاریخ ۱۴ اکتبر ۱۹۴۶ در مشهد، رضوی خراسان به دنیا آمد و در تاریخ ۱۲ آوریل ۱۹۷۲ در تهران، تهران درگذشت. او از فعالان مبارزه مسلحانه علیه رژیم پهلوی بود و گروه احمدزاده-پویان را تشکیل داد.
مرضیه احمدی اسکویی,"مرضیه احمدی اسکویی، متولد سال ۱۹۴۱ در اسکو، آذربایجان شرقی، در دوران پهلوی زیست. او به عنوان چریک، شاعر، نویسنده، معلم و فعال سیاسی فعالیت می‌کرد. مرضیه احمدی اسکویی در تاریخ ۱۳۵۳-۰۶-۰۴ در تهران درگذشت. از رویدادهای مرتبط با او می‌توان به ""درگیری با ساواک"" اشاره کرد."
سید هادی حسینی خامنه,سید هادی حسینی خامنه، با نام مستعار سید هادی خامنه‌ای، در سال ۱۹۴۷ میلادی در آذربایجان، استان آذربایجان شرقی به دنیا آمد. او روحانی شیعه، سیاستمدار اصلاح‌طلب، دبیرکل مجمع نیروهای خط امام، مدیر مؤسسه پژوهشکده تاریخ اسلام و عضو مجمع روحانیون مبارز است.
سید علی‌محمد دستغیب,سید علی‌محمد دستغیب در سال ۱۳۱۴ خورشیدی در شیراز، فارس به دنیا آمد. او به‌عنوان مرجع تقلید و عضو مجلس خبرگان رهبری فعالیت می‌کرد.
سید محمود دعایی,سید محمود دعایی، روحانی و سیاستمدار، در تاریخ ۱۹ آوریل ۱۹۴۱ در شهر یزد به دنیا آمد و در تاریخ ۵ ژوئن ۲۰۲۲ در تهران درگذشت. او در دوران فعالیت خود عضو مجمع روحانیون مبارز (۱۳۶۶-۱۴۰۱)، سرپرست مؤسسه اطلاعات (۱۳۵۹-۱۴۰۱) و نماینده مجلس شورای اسلامی بود.
حسن صانعی,"حسن صانعی، در سال ۱۳۱۳ در نیک‌آباد سیستان و بلوچستان به دنیا آمد و در تاریخ ۱۳/۰۵/۱۳۹۹ درگذشت. او روحانی و سیاستمدار بود. از آثار او می‌توان به ""سرپرست بنیاد پانزده خرداد (1362-1399)"" و ""عضو مجمع تشخیص مصلحت نظام (1368-death)"" اشاره نمود. این دوره از زندگی او در سال‌های ۱۳۶۸-۱۳۹۹ سپری شد."
قدرت الله علی‌خانی,قدرت الله علی‌خانی، سیاستمدار و روحانی، در سال ۱۹۳۹ در شهرستان تاکستان استان قزوین به دنیا آمد. او نتایج انتخابات را برای نامزدهای استان قزوین برای مجلس شورای اسلامی و مجلس خبرگان تحت تأثیر قرار داده است.
هادی غفاری,هادی غفاری، در ۲۵ ژوئن ۱۹۵۰ در آذرشهر، آذربایجان شرقی متولد شد. او به‌عنوان مبارز انقلابی، سیاستمدار، عضو شورای مرکزی مجمع «نیروهای خط امام»، رئیس مؤسسهٔ الهادی و نماینده مجلس شورای اسلامی فعالیت می‌کرد.
سید محمد موسوی بجنوردی,سید محمد موسوی بجنوردی، در سال ۱۹۴۳ در نجف، استان نجف به دنیا آمد و در تاریخ ۱۴۰۲-۰۵-۰۴ درگذشت. او فقیه، حقوق‌دان و استاد دانشگاه بود. از رویدادهای مهم زندگی او می‌توان به عضویت در شورای عالی قضایی از سال ۱۳۶۱ تا ۱۳۶۸، چهره ماندگار رشته‌های فقه و حقوق در همایش سال ۱۳۸۴، و ثبت نام برای انتخابات مجلس خبرگان سال ۱۳۹۴ (صلاحیت احراز نشد) اشاره کرد.
هاشم هاشم‌زاده هریسی,هاشم هاشم‌زاده هریسی، در سال ۱۹۳۸ در هریس، آذربایجان شرقی به دنیا آمد. او به‌عنوان مجتهد و نماینده مجلس خبرگان رهبری فعالیت می‌کرد.
زهرا اشراقی,زهرا اشراقی، در سال ۱۹۶۴ در تهران به دنیا آمد. او به‌عنوان فعال سیاسی و سیاستمدار فعالیت می‌کرد.
گودرز افتخار جهرمی,گودرز افتخار جهرمی، حقوقدان، وکیل دادگستری، عضو هیئت علمی دانشگاه، رئیس دانشکده حقوق دانشگاه شهید بهشتی، رئیس کانون وکلای دادگستری مرکز، عضو شورای نگهبان، و نماینده مدیران مسئول مطبوعات در هیئت نظارت بر مطبوعات، در سال ۱۹۴۳ در جهرم، فارس به دنیا آمد.
سید حسین موسوی تبریزی,سید حسین موسوی تبریزی، که با نام سید حسین پورمیرغفاری نیز شناخته می‌شود، در سال ۱۹۴۷ در تبریز، آذربایجان شرقی به دنیا آمد. او در دوران رهبری سید روح‌الله خمینی به عنوان دادستان کل انقلاب، نماینده مجلس شورای اسلامی، مجتهد، فقیه، پژوهشگر، نویسنده، دبیر مجمع محققین و مدرسین حوزه علمیه قم و رئیس خانهٔ احزاب فعالیت می‌کرد.
محمود صلواتی,محمود صلواتی در تاریخ ۲۱ مارس ۱۹۵۳ در خمینی‌شهر، اصفهان به دنیا آمد. او در زمینه‌های مجتهد، نویسنده، مفسر قرآن، مترجم قرآن، مفسر نهج البلاغه، مترجم نهج البلاغه، پژوهشگر دینی، عضو شورای مرکزی مجمع مدرسین و محققین حوزه علمیه قم، مؤسس سپاه پاسداران انقلاب اسلامی، بنیان‌گذار مرکز تحقیقات و عقیدتی - سیاسی سپاه پاسداران و اولین رئیس مرکز تحقیقات و عقیدتی - سیاسی سپاه پاسداران فعالیت داشته است.
قاسم شعله‌سعدی,قاسم شعله‌سعدی، در سال ۱۹۵۴ در شیراز، فارس به دنیا آمد. او به‌عنوان وکیل دعاوی، فعال سیاسی، نماینده مجلس، فعال حقوق بشر و استاد حقوق بین‌الملل فعالیت می‌کرد. قاسم شعله‌سعدی نماینده شیراز در مجلس شورای اسلامی در دوره سوم و چهارم بود، همچنین زندانی سیاسی بود و به دلیل انتقاد از سیدعلی خامنه‌ای بازداشت شد.
سید امیرمحمد میردامادی,سید امیرمحمد میردامادی، معروف به سراج‌الدین میردامادی، در ۲۷ مارس ۱۹۷۳ در مشهد، رضوی خراسان به دنیا آمد. او روزنامه‌نگار و فعال سیاسی بود. او در انتخابات ریاست جمهوری ایران در سال ۱۳۸۸ از میرحسین موسوی و در سال ۱۳۹۲ از حسن روحانی حمایت کرد. در تاریخ ۱۰ اردیبهشت ۱۳۹۳ دستگیر و در زندان اوین زندانی شد و به دلیل تبلیغ علیه نظام به سه سال زندان محکوم گردید. او در دوران معاصر فعالیت می‌کرد.
عباس امیرانتظام,عباس امیرانتظام، سیاستمدار، معاون نخست‌وزیر و سخنگوی دولت، در تاریخ ۱۸ اوت ۱۹۳۲ در تهران متولد شد و در تاریخ ۷ دسامبر ۲۰۱۸ در تهران درگذشت. او در دوران پسا انقلاب ۱۳۵۷ فعالیت داشت و از ۱۳۵۷ تا ۱۳۵۸ معاون نخست‌وزیر و سخنگوی دولت مهدی بازرگان بود. همچنین، او زندانی سیاسی از آذر ۱۳۵۸ تا ۱۳۷۵ بود و عضو شورای رهبری جبهه ملی ایران بود.
مهدی بازرگان تبریزی,مهدی بازرگان تبریزی، سیاستمدار، نخست‌وزیر، عضو جبهه ملی ایران، مؤسس حزب نهضت آزادی ایران، استاد دانشگاه، پژوهشگر قرآن و نماینده مجلس شورای اسلامی، در ۹ ژانویه ۱۹۰۷ در تهران متولد شد و در ۲۰ ژانویه ۱۹۹۵ در زوریخ درگذشت. او چهل و یکمین نخست‌وزیر ایران (۱۳۵۷-۱۳۵۸) بود، نماینده مجلس شورای اسلامی (۱۳۵۹-۱۳۶۳) شد، دانشیار دانشگاه تهران بود و به مدت ۶ سال رئیس دانشکده فنی دانشگاه تهران بود.
عبدالعلی بازرگان,عبدالعلی بازرگان، در ۱۴ اوت ۱۹۴۳ در تهران متولد شد. او در دوران معاصر به‌عنوان ژورنالیست، نویسنده، محقق قرآن، معمار و فعال سیاسی فعالیت می‌کرد. عبدالعلی بازرگان پسر مهدی بازرگان، اولین نخست وزیر پس از انقلاب ۱۳۵۷ بود، عضو نهضت آزادی و منتقد سلسله پهلوی و جمهوری اسلامی بود.
عماد بهاور,عماد بهاور، در سال ۱۳۵۷ در تهران متولد شد. او به‌عنوان فعال اصلاح طلب و عضو دفتر سیاسی نهضت آزادی ایران فعالیت می‌کرد. از رویدادهای مهم مرتبط با او می‌توان به زندانی سیاسی سابق، عضو هسته مرکزی «پویش حمایت ازخاتمی و موسوی» و عضو «شورای عالی سیاست‌گذاری اصلاح‌طلبان» اشاره کرد.
نورعلی تابنده,نورعلی تابنده، که با نام مجذوب‌علیشاه نیز شناخته می‌شود، در ۱۳ اکتبر ۱۹۲۷ در بیدخت، خراسان رضوی به دنیا آمد و در ۲۴ دسامبر ۲۰۱۹ در تهران درگذشت. او به‌عنوان قطب سلسله نعمت‌اللهی سلطان‌علیشاهی، معاون وزارت فرهنگ و ارشاد اسلامی، مدیر سازمان حج و زیارت، و معاون وزارت دادگستری فعالیت می‌کرد.
غلامعباس توسلی,غلامعباس توسلی، جامعه‌شناس و استاد دانشگاه، در ۲۳ مه ۱۹۳۵ در رشتخوار خراسان رضوی متولد شد و در ۱۶ اکتبر ۲۰۲۰ درگذشت. او بنیانگذار علم جامعه‌شناسی در ایران، عضو پیوسته فرهنگستان علوم، چهره نامدار جریان ملی-مذهبی و عضو نهضت آزادی ایران بود.
محمّد توسّلی حجتی,محمّد توسّلی حجتی، در سال ۱۹۳۸ در تهران به دنیا آمد. او دبیرکل نهضت آزادی ایران و شهردار تهران بود. دوران فعالیت او پس از انقلاب اسلامی بود.
علی شریعتی,"علی شریعتی، که با نام مستعار ""دکتر علی شریعتی"" نیز شناخته می‌شود، در تاریخ ۲۳ نوامبر ۱۹۳۳ در مزینان، خراسان رضوی به دنیا آمد و در تاریخ ۱۹ ژوئن ۱۹۷۷ در ساوت‌همپتون، همپ‌شایر درگذشت. او به‌عنوان تاریخ، سخنران، نویسنده، اسلام‌شناس، جامعه‌شناس و پژوهشگر دینی فعالیت می‌کرد. از آثار برجسته او می‌توان به ""Hubut in Kavir""، ""Guftuguhaye Tanha’i""، ""حر (کتاب)""، ""کویر (کتاب)""، ""تشیع علوی و تشیع صفوی""، ""فاطمه، فاطمه است""، ""The Philosophy of Supplication"" و ""Ba Mukhatabhaye Ashna"" اشاره کرد. انقلاب اسلامی ایران یکی از وقایع مهم مرتبط با او بود."
هاشم صباغیان,هاشم صباغیان، سیاستمدار و وزیر کشور، در سال ۱۹۳۷ میلادی در تهران به دنیا آمد. او در دوره دولت موقت فعالیت می‌کرد و سمت وزیر کشور را در دولت موقت بعد از احمد صدر حاج‌سیدجوادی بر عهده داشت.
رضا صدر,رضا صدر، سیاستمدار و وزیر بازرگانی، در سال ۱۹۳۲ در شهر قم، استان قم به دنیا آمد. او در دوران انقلاب ۱۳۵۷ فعالیت داشت و از جمله رویدادهای مهم زندگی او می‌توان به وزارت بازرگانی در دولت موقت مهدی بازرگان، وزارت بازرگانی در دولت شورای انقلاب و عضویت در شورای انقلاب اشاره کرد.
سید محمود علایی طالقانی,سید محمود علایی طالقانی، در تاریخ ۳ ژوئیه ۱۹۱۱ در تهران متولد شد و در تاریخ ۹ سپتامبر ۱۹۷۹ در تهران درگذشت. او روحانی، مفسر قرآن، نواندیش دینی، فعال سیاسی و فعال اجتماعی بود. از او به عنوان عضو جبههٔ ملی دوم و یکی از مؤسسان نهضت آزادی ایران یاد می‌شود.
طاهر احمدزاده هِرَوی,طاهر احمدزاده هِرَوی، متولد سال 1921 در مشهد، استان خراسان رضوی، و متوفی در 30 نوامبر 2017 بود. او در دوران پهلوی و جمهوری اسلامی فعالیت داشت و به‌عنوان کنشگر سیاسی و استاندار خراسان شناخته می‌شد. از وقایع مهم زندگی او می‌توان به نهضت ملی‌شدن نفت و نهضت مقاومت ملی ایران اشاره کرد.
سید صادق طباطبایی,سید صادق طباطبایی، که در دوران انقلاب ایران ۱۳۵۷ فعالیت داشت، در ۱۲ دسامبر ۱۹۴۳ در قم به دنیا آمد و در ۲۱ فوریه ۲۰۱۵ در دوسلدورف، نوردراین-وستفالن درگذشت. او سیاستمدار، استاد دانشگاه، نویسنده و روزنامه‌نگار بود. از فعالیت‌های او می‌توان به سخنگویی دولت موقت ایران در دوران مهدی بازرگان و معاونت وزیر کشور و مجری رفراندوم جمهوری اسلامی ایران اشاره کرد.
صادق قطب‌زاده,صادق قطب‌زاده، سیاستمدار، وزیر امور خارجه و مدیرعامل سازمان صدا و سیما، در سال ۱۹۳۶ در اصفهان به دنیا آمد و در ۱۵ سپتامبر ۱۹۸۲ در تهران درگذشت. او در سال‌های ۱۳۵۸-۱۳۵۹ وزیر امور خارجه ایران و در سال‌های ۱۳۵۷-۱۳۵۸ مدیرعامل سازمان صدا و سیما بود. دوران فعالیت او در دوره زمانی ۱۹۷۹-۱۹۸۰ بود.
مصطفی کتیرایی,مصطفی کتیرایی، در سال ۱۹۲۸ در ملایر، همدان به دنیا آمد و در تاریخ ۲۰۱۶-۰۳-۰۲ در تهران، تهران درگذشت. او سیاست‌مدار و وکیل بود.
محمدحسین بنی‌اسدی,محمدحسین بنی‌اسدی، که با نام حسین بنی‌اسدی نیز شناخته می‌شود، در تاریخ ۴ اردیبهشت ۱۳۲۱ در اراک، استان مرکزی به دنیا آمد. او سیاستمدار، فعال سیاسی و وزیر مشاور در امور اجرایی بوده است. از وقایع مهم زندگی او می‌توان به بازداشت و شکنجه به خاطر امضای نامه نود امضایی و بازداشت در اسفند ۱۳۷۹ و فروردین ۱۳۸۰ اشاره کرد.
علی‌اکبر معین‌فر,علی‌اکبر معین‌فر، در ۱۴ ژانویه ۱۹۲۸ در تهران متولد شد و در ۱ فوریه ۲۰۱۸ در تهران درگذشت. او سیاست‌مدار، مدیر ارشد اجرایی و وزیر نفت بود. علی‌اکبر معین‌فر نخستین وزیر نفت ایران پس از ایجاد این وزارتخانه جدید بود.
منصور عطائی,منصور عطائی، در سال ۱۹۰۴ در تهران به دنیا آمد و در سال ۱۹۸۳ درگذشت. او به‌عنوان مؤلف، محقق، استاد دانشکده کشاورزی دانشگاه تهران، معاون وزیر کشاورزی، بنیانگذار گروه زراعت و اصلاح نباتات و بنیانگذار نهضت آزادی ایران فعالیت می‌کرد.
حسن نزیه,"حسن نزیه، در ۱۰ فوریه ۱۹۱۸ در تبریز متولد شد و در ۱۴ سپتامبر ۲۰۱۲ در کوربوآ، استان ایلام درگذشت. او سیاستمدار، حقوق‌دان و مدیر اجرایی بود و از آثار او می‌توان به ""مدیر عامل و رئیس هیئت مدیره شرکت ملی نفت ایران"" اشاره نمود. دوره فعالیت او در سال‌های ۱۳۵۷-۱۳۵۸ بوده است."
ابراهیم یزدی,ابراهیم یزدی، سیاستمدار، داروساز، وزیر خارجه، معاون نخست‌وزیر، نماینده مجلس، دبیرکل نهضت آزادی ایران و مشاور، در تاریخ ۱۳ خرداد ۱۳۱۰ (1931-05-04) در قزوین به دنیا آمد و در تاریخ ۵ شهریور ۱۳۹۶ (2017-08-27) در ازمیر درگذشت. او که در دوران انقلاب ۱۳۵۷ ایران فعالیت داشت، عضو شورای انقلاب بود و در بازگشت به ایران پس از پیروزی انقلاب ۱۳۵۷ حضور داشت.
احمد آرامش,احمد آرامش، سیاست‌مدار، وزیر کار و تبلیغات و رئیس سازمان برنامه بودجه، در سال ۱۹۰۸ در شهر یزد، استان یزد به دنیا آمد و در سال ۱۹۷۳ درگذشت. او در دوران محمدرضا پهلوی فعالیت می‌کرد و زندانی و کشته شد.
حسن ارسنجانی,"حسن ارسنجانی در ۸ ژانویه ۱۹۲۳ در تهران متولد شد و در ۶ ژانویه ۱۹۶۹ در تهران درگذشت. او به‌عنوان روزنامه‌نگار، مدیر روزنامه، وکیل دادگستری، نماینده مجلس، معاون نخست‌وزیر، وزیر کشاورزی و سفیر فعالیت می‌کرد. از آثار او می‌توان به ""برنامهٔ اصلاحات ارضی در ایران"" اشاره نمود. از رویدادهای مهم زندگی او می‌توان به منتخب مردم در مجلس پانزدهم، لیدر جمعیت آزادی و سفیر ایران در ایتالیا اشاره کرد."
علی امینی,"علی امینی، که با نام مستعار ""علی امینی مجدی"" نیز شناخته می‌شد، در ۱۲ دسامبر ۱۹۰۵ در تهران متولد شد و در ۱۲ دسامبر ۱۹۹۲ در پاریس، در استان Île-de-France، درگذشت. او سیاست‌مدار و نخست‌وزیر ایران بود و از اردیبهشت ۱۳۴۰ تا تیر ۱۳۴۱ نخست‌وزیر ایران بود. او در گورستان پاسی به خاک سپرده شده است."
مظفر بقائی کرمانی,"مظفر بقائی کرمانی، در ۲۳ ژوئیه ۱۹۱۲ در کرمان به دنیا آمد و در ۱۷ نوامبر ۱۹۸۷ در تهران درگذشت. او به‌عنوان فعال سیاسی، روزنامه‌نگار، رهبر حزب و بنیان‌گذار فعالیت می‌کرد. از آثار او می‌توان به ""روزنامه شاهد (Shahid newspaper)""، ""حزب زحمتکشان ملت ایران (Party of Iran's Toiling People)"" و ""جبهه ملی ایران (National Front of Iran)"" اشاره نمود. او در وقایع ""کودتای ۲۸ مرداد ۱۳۳۲ ایران"" و ""ملی شدن صنعت نفت"" حضور داشت."
محمّدتقی بهار,محمّدتقی بهار، معروف به ملک‌الشعرا و بهار، در ۱۱ ژوئیه ۱۸۸۶ در مشهد، رضوی خراسان به دنیا آمد و در ۲۱ آوریل ۱۹۵۱ در تهران، تهران درگذشت. او به عنوان شاعر، ادیب، نویسنده، روزنامه‌نگار، تاریخ‌نگار، استاد دانشگاه و سیاست‌مدار فعالیت می‌کرد. دوران معاصر نیز در برگیرنده فعالیت‌های او بود.
محمد پروین گنابادی,محمد پروین گنابادی، در چهارم اردیبهشت سال ۱۲۸۲ در گناباد، خراسان رضوی به دنیا آمد و در اول شهریور سال ۱۳۵۷ در تهران درگذشت. او به‌عنوان روحانی و اهل علم فعالیت می‌کرد.
رضا حکمت,رضا حکمت، معروف به سردار فاخر، در تهران و در سال ۱۸۹۱ میلادی چشم به جهان گشود. او که در دوران قاجار و پهلوی فعالیت داشت، به‌عنوان سیاست‌مدار، رئیس مجلس شورای ملی و نخست‌وزیر ایفای نقش کرد. وی در سال ۱۹۷۸ میلادی در تهران درگذشت.
سیداحمد رضوی,سیداحمد رضوی، استاد دانشگاه و نایب رئیس مجلس، در ۱ ژانویه ۱۹۰۶ در کرمان به دنیا آمد و در ۱ ژانویه ۱۹۷۱ درگذشت. او از همراهان محمد مصدق و عضو هیئت مؤسس جبهه ملی ایران بود.
فاطمه رضازاده محلاتی,فاطمه رضازاده محلاتی، معروف به فاطمه سیّاح، در سال ۱۹۰۲ میلادی در مسکو، استان مسکو به دنیا آمد و در ۳ آوریل ۱۹۴۸ درگذشت. او استاد ادبیات و فعال حقوق زن بود. از آثار او می‌توان به پایه‌گذاری کرسی نقد ادبی در دانشگاه تهران اشاره کرد. فاطمه رضازاده محلاتی بنیان‌گذار کانون بانوان در وزارت فرهنگ نیز بود.
سید علی شایگان,سید علی شایگان، روزنامه‌نگار، حقوق‌دان و رهبر سیاسی، در سوم ژانویه ۱۹۰۳ در شیراز، فارس به دنیا آمد و در پانزدهم مه ۱۹۸۱ در بهشت زهرا درگذشت. او در دوره پهلوی فعالیت می‌کرد و در وقایعی چون کودتای ۲۸ مرداد، همکاری با محمد مصدق، رهبری جبهه ملی ایران و بنیانگذاری نهضت مقاومت ملی نقش داشت.
خسرو خان صولت قشقایی,خسرو خان صولت قشقایی، در سال ۱۹۱۷ در شیراز، فارس به دنیا آمد و در ۱۰ ژانویه ۱۹۸۲ درگذشت. او ایلخان و سیاستمدار بود. آثار او در دسترس نیست. او در دوران پهلوی و جمهوری اسلامی ایران فعالیت داشت. از رویدادهای زندگی او می‌توان به مبارزه مسلحانه علیه دولت‌های پهلوی و جمهوری اسلامی و اعدام شدن توسط جمهوری اسلامی به دلیل همین مبارزه اشاره کرد.
احمد قوام,احمد قوام، سیاستمدار، در ۱ فوریه ۱۸۷۶ در تهران به دنیا آمد و در ۲۳ ژوئیه ۱۹۵۵ در تهران درگذشت. مقبره او در حرم فاطمه معصومه قرار دارد. او در دوران قاجاری و پهلوی فعالیت می‌کرد و پنج بار به نخست‌وزیری ایران رسید.
محمود محمود,محمود محمود، معروف به محمود پهلوی، در سال ۱۸۸۲ در تبریز، آذربایجان شرقی به دنیا آمد و در سال ۱۹۶۵ در تهران، تهران درگذشت. او به‌عنوان محقق، نویسنده و مترجم فعالیت می‌کرد. این دوره از زندگی او به صدر مشروطیت تعلق دارد.
سید حسین مکی,"سید حسین مکی، سیاستمدار، نویسنده، مورخ و نماینده مجلس، در سال ۱۹۱۱ در میبد یزد به دنیا آمد و در تاریخ ۱۲ اوت ۱۹۹۹ در تهران درگذشت. از آثار او نامی برده نشده است. او در رویداد ""فعال سیاسی در نهضت ملی شدن صنعت نفت"" نقش داشته است."
