,name,final_paragraph,images_clean
215,عباس مصدق,"عباس مصدق یک مرد ایرانی است که در سال 1305 در تهران متولد شد. او در زمینه‌های بازیگری رادیو، تئاتر و سینما فعالیت داشته و از جمله آثار شاخص او می‌توان به «کمربند زرین»، «سوغات فرنگ» و «قاصد بهشت» اشاره کرد. مصدق در طول دهه‌های ۱۳۳۰ تا ۱۳۴۰ در این زمینه‌ها فعالیت کرده است. وی در تاریخ 10 سپتامبر 1363 درگذشت.
این تصویر یک مرد را نشان می‌دهد که کلاه بر سر دارد. او سبیل دارد و چهره‌اش جدی به نظر می‌رسد. ابروهای او پرپشت هستند و نگاهش به سمت چپ تصویر است. او یک پاپیون به گردن دارد و لباس رسمی پوشیده است. نورپردازی تصویر به گونه‌ای است که جزئیات چهره به خوبی دیده می‌شود.",images_clean\Abbas_Mosadeq.png
216,عسل بدیعی,"عسل بدیعی یک زن ایرانی است که در سال 1356 در تهران متولد شد و تا سال 1392 در زمینه بازیگری فعالیت می‌کرد. او در فیلم‌های «بودن یا نبودن»، «دست‌های آلوده» و «پروانه‌ای در مه» ایفای نقش کرده است. وی در سال 1392 درگذشت.
متاسفانه نمی‌توانم چهره فرد را در این تصویر توصیف کنم. اگر سوال دیگری دارید یا به اطلاعات بیشتری نیاز دارید، خوشحال می‌شوم کمک کنم.",images_clean\250px-Asal_Badiee_Grave.png
217,کمند امیرسلیمانی,"کمند امیرسلیمانی یک زن ایرانی است که در سال 1352 در تهران متولد شده است. او از سال 1362 تاکنون در زمینه بازیگری فعالیت داشته است. از جمله آثار او می‌توان به فیلم‌های «خرچنگ»، «کوکتل مولوتوف» و «پاستاریونی» اشاره کرد. همچنین او در سریال‌های «رستم و سهراب»، «جایزه برای بازنده‌ها» و «دروازه روی هشت» نقش داشته است.
متأسفانه نمی‌توانم چهره افراد را توصیف کنم. اگر سوال دیگری دارید خوشحال می‌شوم کمک کنم.",images_clean\KamandAmirSoleymani.png
218,بهشاد مختاری,"بهشاد مختاری، بازیگر و خواننده ایرانی، در 22/4/1360 در بیرجند متولد شد. او از دهه 1380 در این دو زمینه فعالیت کرده است. از جمله آثار او می‌توان به «چند می‌گیری گریه کنی»، «پا تو کفش من نکن» و «یکی بود، یکی نبود» اشاره کرد. مختاری در فیلم‌های «حکایت‌های کمال» و «قهوه تلخ» نیز حضور داشته است. او همچنین در سریال‌های «ماجراهای محله ما»، «شب‌های برره»، «خانه اجاره‌ای»، «فراموشی»، «امیرعلی» و «مهمانپذیر سعادت» ایفای نقش کرده است.
متاسفانه نمی‌توانم چهره افراد را در تصاویر توصیف کنم. اگر سوال دیگری دارید یا نیاز به اطلاعات بیشتری دارید، خوشحال می‌شوم که کمک کنم.",images_clean\220px-%D8%A8%D9%87%D8%B4%D8%A7%D8%AF_%D9%85%D8%AE%D8%AA%D8%A7%D8%B1%DB%8C_%D8%A8%D8%A7%D8%B2%DB%8C%DA%AF%D8%B1_%D8%AE%D9.png
219,نیما بانکی,"نیما بانکی یک کارگردان، فیلمساز، بازیگر و عکاس ایرانی است که در سال ۱۳۵۲ در تهران متولد شده است. او در زمینه کارگردانی و فیلم‌سازی فعالیت داشته و از جمله آثارش می‌توان به «آب‌پریا»، «شمس‌العماره» و «فروشگاه» اشاره کرد. نیما بانکی همچنین در چندین فیلم دیگر نیز بازی کرده و به عنوان عکاس نیز شناخته شده است. او در سال‌های اخیر به فعالیت در زمینه کارگردانی و فیلم‌سازی ادامه داده است.
این فرد دارای موهای کوتاه و مجعد به رنگ تیره است. او عینک آفتابی با لنزهای آبی به چشم دارد. ریش و سبیل پرپشتی دارد که به صورت او ظاهری جذاب می‌بخشد. لبخندی ملایم بر لب دارد و پوست صورتش به رنگ روشن است. او لباسی گرم به رنگ خاکستری به تن دارد و زیر آن یک پلیور آبی روشن پوشیده است. همچنین یک شال گردن با طرح‌های رنگی به گردن دارد.",images_clean\Nima_Bank.png
220,مهران مدیری,"مهران مدیری یک کارگردان، بازیگر، خواننده و مجری تلویزیونی ایرانی است که در 18 فروردین 1346 در تهران متولد شده است. او از دهه 1370 تاکنون در این زمینه فعالیت کرده است و از جمله آثار شاخص او می‌توان به «نوروز 72»، «پرواز 57» و «باغ مظفر» اشاره کرد.
این تصویر مردی را نشان می‌دهد که موهای خاکستری و کوتاه دارد. او لبخند می‌زند و چهره‌ای دوستانه و خوش‌رو دارد. پوست او روشن است و پیراهن سفیدی به تن دارد. زاویه تصویر به گونه‌ای است که او به سمت راست نگاه می‌کند. نورپردازی تصویر به خوبی جزئیات چهره او را نشان می‌دهد.",images_clean\Mehran_Modiri_at_Saate_5_Asr_movie_press_conference.png
221,ثریا بهشتی,"ثریا بهشتی یک زن ایرانی است که در سال 1322 در کرمانشاه متولد شد و تا سال 1394 زندگی کرد. او در زمینهٔ هنرپیشهٔ تئاتر و سینما فعالیت داشته و از دههٔ چهل و پنجاه شمسی به کار خود ادامه داده است. از جمله آثار او می‌توان به فیلم‌های «خاطرخواه»، «خر دجال» و «شوفر خوشگله» اشاره کرد. ثریا بهشتی در تاریخ 6 آبان 1394 درگذشت. او در طول عمر خود، به عنوان یک هنرپیشه، توانسته است به شهرت و محبوبیت زیادی دست یابد و تأثیر قابل توجهی در زمینهٔ هنرپیشگی بگذارد.
در این تصویر، زنی با موهای بلند و تیره دیده می‌شود. چهره او به سمت دوربین است و حالتی جدی یا شاید اندوهگین دارد. ابروهای او پرپشت و چشمانش درشت به نظر می‌رسند. نور و سایه‌ها در تصویر به دلیل سیاه و سفید بودن، کنتراست بالایی ایجاد کرده‌اند که جزئیات چهره را بیشتر نمایان می‌کند. در پس‌زمینه، مردی با سبیل و لباس غیررسمی دیده می‌شود که در فوکوس نیست.",images_clean\Beheshti.png
222,بیتا فرهی,"بیتا فرهی، بازیگر ایرانی، در سال ۱۳۳۶ در تهران متولد شد و تا سال ۱۴۰۲ در این حرفه فعالیت داشت. او در فیلم‌های هامون، بانو، کیمیا و هتل کارتن به ایفای نقش پرداخته است. همچنین، در سریال‌های زندگی، اعتراض، میکس و خانه‌ای روی آب حضور داشته است. بیتا فرهی در تاریخ ۴ سپتامبر ۱۴۰۲ درگذشت.
در تصویر، فردی با چهره‌ای آرام و متین دیده می‌شود. او دارای موهای روشن است که به صورت مرتب و ساده آرایش شده‌اند. چهره او با یک روسری تیره پوشیده شده است. پوست صورت او صاف و روشن است و چشمانش با نگاهی جدی و متمرکز به جلو نگاه می‌کنند. لب‌های او به صورت طبیعی و متناسب هستند و حالتی آرام دارند. نورپردازی تصویر به گونه‌ای است که جزئیات چهره به خوبی دیده می‌شود.",images_clean\250px-Bita_Farrahi%2C_10th_Donyaye_Tassvir_Awards_%2822_8604220232_L600%29.png
223,رامین راستاد,"رامین راستاد یک بازیگر و چهره‌پرداز ایرانی است که در سال 1351 در مشهد متولد شده است. او از دهه 1370 تاکنون در زمینه بازیگری و چهره‌پردازی فعالیت داشته است. از جمله افتخارات او می‌توان به آثارش اشاره کرد که شامل وابل، نفرین آرتا، برای مرجان، مشت آخر، دنیای گمشده، کامیون، آزاد به قید شرط، شام عاشقانه سه‌نفره، رسوایی ۲، هدیه، پایان خدمت، آزاد راه، ایستگاه آخر، چسب زخم، مرگ کسب‌وکار من است، ملاقات، باغ قرمز، زیگزاگ، برخورد خیلی نزدیک، نفوذی، به خاطر خواهرم، تنها دو بار زندگی می‌کنیم، مجنون لیلی، دایره زنگی، میم مثل مادر، عصر جمعه، طلای سرخ، عشق شیشه‌ای، سیاوش و شهر می‌باشد.
این تصویر مردی را نشان می‌دهد که عینک گرد به چشم دارد. موهای او کوتاه و تیره است. او دستش را زیر چانه‌اش قرار داده و به نظر می‌رسد در حال فکر کردن است. چهره‌اش جدی به نظر می‌رسد و ابروهایش کمی بالا رفته‌اند. او کت کرم رنگی به تن دارد و زیر آن پیراهنی تیره پوشیده است. پس‌زمینه تصویر تار است و تمرکز بر روی چهره اوست.",images_clean\Ramin_Rastad.png
224,رحیم نوروزی,"رحیم نوروزی یک بازیگر ایرانی است که در سال 1346 در رشت متولد شده است. او از دهه 1360 تاکنون در زمینه بازیگری فعالیت داشته است. برخی از آثار شاخص او شامل فیلم‌های غریب، آسمان هشتم، دوزخ و سریال‌های یوسف پیامبر، خانه‌ای روی تپه و کلانتر ۲ می‌باشد.
در تصویر، فردی با موهای تیره و نسبتاً بلند دیده می‌شود که به یک سمت نگاه می‌کند. موهای او به صورت طبیعی و کمی نامرتب روی پیشانی‌اش افتاده‌اند. چهره‌اش دارای خطوطی ملایم است و ابروهای تیره و چشمانی با نگاه جدی دارد. پوست صورت او روشن است و لب‌هایش به صورت طبیعی و بدون لبخند هستند. زاویه صورت به گونه‌ای است که نیم‌رخ او بیشتر دیده می‌شود. لباس او تیره به نظر می‌رسد و پس‌زمینه تصویر تار و نامشخص است.",images_clean\Rahim_Noroozi%2C_2008.png
225,سپند امیرسلیمانی,"سپند امیرسلیمانی یک هنرمند ایرانی است که در سال 1356 در تهران متولد شده است. او در زمینه‌های بازیگری، مجری‌گری و نوازندگی فعالیت دارد و از سال 1361 تاکنون در این حوزه‌ها مشغول به کار است. از جمله آثار برجسته او می‌توان به «ورود و خروج ممنوع»، «مردان مریخی و زنان ونوسی» و «اخرجی‌ها» اشاره کرد. او در بسیاری از سریال و فیلم‌های ایرانی حضور داشته است و از جمله آثارش می‌توان به «نان»، «عشق و موتور هزار»، «دندان طلا» و «ماه از روی سکو» اشاره کرد.
این تصویر مردی را نشان می‌دهد که موهای تیره و کوتاه دارد و به عقب شانه شده‌اند. او عینک با فریم تیره به چشم دارد. ریش و سبیل او پرپشت و به رنگ تیره است. پوست صورت او روشن است و پیراهن مشکی به تن دارد. نگاه او به سمت راست تصویر است و نور به صورتش تابیده است.",images_clean\Sepand_Amirsoleimani.png
226,فاطیما بهارمست,"فاطیمه بهارمست یک زن ایرانی است که در سال ۱۳۷۵ در تهران متولد شده است. او در زمینه‌های بازیگری و مجری‌گری فعالیت دارد و از جمله آثار او می‌توان به «ماجراهای چموش و خموش»، «حلقه سبز» و «بیدارباش» اشاره کرد. فاطیمه بهارمست در سریال‌های «از سرنوشت» و «پدرخوانده ۲» نیز حضور داشته است. او همچنین در فیلم‌های «زودیاک ۲» و «روزی روزگاری» بازی کرده است. فاطیمه بهارمست در سال‌های اخیر به فعالیت در زمینه مجری‌گری پرداخته است.
متاسفم، نمی‌توانم چهره افراد را توصیف کنم.",images_clean\FatemehBaharMast.png
227,کامران تفتی,"کامران تفتی یک بازیگر، خواننده و مجری ایرانی است که در سال 1358 در تهران متولد شده است. او از سال 1379 تاکنون در زمینه بازیگری، خوانندگی و مجری‌گری فعالیت داشته است. برخی از آثار شاخص او شامل فیلم‌های «حس سوم»، «پای پیاده» و «شب شیشه‌ای» و سریال‌های «این گروه پلیس» و «زمین گرم» می‌باشد.
این فرد دارای موهای تیره و نسبتاً کوتاه است که به سمت بالا حالت داده شده‌اند. او سبیل پرپشتی دارد که به چهره‌اش جلوه‌ای خاص می‌بخشد. پوست صورت او روشن است و چشمانش به سمت پایین نگاه می‌کنند. او لباسی تیره به تن دارد که یقه آن به خوبی دیده می‌شود. حالت چهره‌اش جدی و آرام به نظر می‌رسد.",images_clean\Kamran_Tafti.png
228,حمید گودرزی,"حمید گودرزی، متولد 2 سپتامبر 1356 در بروجرد، یک هنرمند ایرانی است که در زمینه‌های بازیگری، مجری‌گری و مدیریت برنامه‌ریزی فعالیت دارد. او از سال 1378 تاکنون در این حوزه‌ها فعالیت کرده است. برخی از آثار شاخص وی شامل فیلم‌های «خرچنگ»، «بهشت تبهکاران» و «سلام علیکم حاج آقا» و سریال‌های «نیوکاسل» و «دزدان خیابان جردن» است.
این تصویر مردی را نشان می‌دهد که لبخند ملایمی بر لب دارد. او کلاه مشکی بر سر دارد و موهایش زیر کلاه پنهان شده است. چشمان او تیره و ابروهایش پرپشت هستند. پوست صورتش روشن است و بینی او متوسط به نظر می‌رسد. لب‌های او باریک و به رنگ طبیعی هستند. او کت تیره‌ای به تن دارد و زمینه تصویر آبی است.",images_clean\250px-Hamid_Goudarzi_%28cropped%29.png
229,لیلی رشیدی,"لیلی رشیدی یک زن ایرانی است که در سال ۱۳۵۲ در تهران متولد شده است. او در زمینه بازیگری فعالیت می‌کند و از دهه ۱۳۶۰ در این زمینه مشغول به کار بوده است. از جمله آثار او می‌توان به فیلم‌های «دلشدگان»، «پدر» و «مخاطب» اشاره کرد. همچنین او در سریال‌های «پروفسور بوبوس»، «بت» و «شهر موش‌ها ۲» ایفای نقش کرده است. لیلی رشیدی در بسیاری از فیلم و سریال‌های ایرانی حضور داشته است و از جمله آثار او می‌توان به «اسم»، «اسکلیگ» و «بچه‌های پرواز» اشاره کرد. او در سال‌های اخیر نیز در پروژه‌های مختلفی مانند «روزی روزگاری مریخ»، «مردم معمولی» و «کارآگاه شمسی و دستیارش مادام» حضور داشته است.
این تصویر یک زن را نشان می‌دهد که روسری مشکی به سر دارد. او لباسی آبی با طرح‌های گل‌دار به تن دارد. چهره‌اش آرام و متفکر به نظر می‌رسد و دستش را به گونه‌اش تکیه داده است. پوست او روشن و لب‌هایش با رنگی ملایم آرایش شده‌اند. نگاهش به سمت چپ تصویر است و حالتی آرام و متین دارد.",images_clean\Leili_Rashidi.png
230,نوذر آزادی,"نوذر آزادی، بازیگر، نویسنده، کارگردان، شاعر، نقاش و مجری ایرانی، در سال ۲۹ آبان ۱۳۱۷ در کرمانشاه متولد شد. او در طول فعالیت ۲۴ ساله خود، در زمینه‌های مختلف هنری فعالیت کرده است. از جمله آثار شاخص او می‌توان به «صمد و قالیچه حضرت سلیمان»، «خواستگار» و «ایتالیا ایتالیا» اشاره کرد. نوذر آزادی در تاریخ ۹ دی ۱۳۹۹ درگذشت.
این تصویر یک مرد را نشان می‌دهد که عینک بزرگی به چشم دارد. موهای او بلند و به سمت عقب شانه شده است. او لباسی رسمی شامل کت چهارخانه و کراوات خال‌خالی پوشیده است. چهره‌اش حالتی آرام و متفکرانه دارد و لبخند ملایمی بر لب دارد. دست‌هایش در حالتی قرار گرفته‌اند که انگار در حال توضیح یا صحبت کردن است. پس‌زمینه تصویر به نظر می‌رسد که تخته سیاه یا دیواری با نوشته‌هایی روی آن باشد.",images_clean\Nozar_Azadi.png
231,رزی ملک یونان,"رزی ملک یونان یک زن ایرانی است که در سال ۱۳۴۴ در تهران متولد شده است. او در زمینه‌های بازیگری، کارگردانی، نویسندگی، هنرمندی و فعالیت حقوق بشر فعالیت دارد. از جمله آثار او می‌توان به سریال‌های «دودمان»، «روزهای زندگی ما» و «جوان و بی‌قرار» اشاره کرد. او همچنین در سریال‌های «The Crimson Field» و «پیشتازان فضا: فضای عمیق ۹» ایفای نقش کرده است.
این تصویر زنی را نشان می‌دهد که موهای کوتاه و تیره دارد. چشمان او بزرگ و قهوه‌ای هستند و ابروهایش به خوبی مرتب شده‌اند. او لب‌های پر و آرایش ملایمی دارد که شامل رژ لب قرمز است. پوست او روشن است و حالت چهره‌اش آرام و متفکر به نظر می‌رسد. او یک گردنبند ساده به گردن دارد و دستش را زیر چانه‌اش قرار داده است. لباس او به رنگ خاکستری است.",images_clean\250px-RosieMalek-Yonan.png
232,امین زندگانی,"امین زندگانی در سال 1351/6/5 در آبادان متولد شد. او در زمینهٔ بازیگری و مجری‌گری فعالیت می‌کند و از سال 1370 تاکنون در این زمینه مشغول به کار است. از جمله افتخارات او می‌توان به برنده شدن جایزهٔ بهترین بازیگر نقش اول مرد در جشنوارهٔ فیلم فجر در سال‌های 1389 و 1390 اشاره کرد. از آثار او می‌توان به «ساعر 5»، «هفت خان اسفندیار»، «مرثیه‌ای برای یک دراکولا» و «شهر گربه‌ها» اشاره کرد. او در سریال‌های «پنجره» و «پنجره 2» نیز بازی کرده است.
این تصویر مردی را نشان می‌دهد که عینک گرد به چشم دارد. او لبخند می‌زند و دندان‌هایش نمایان است. موهای او تیره و کمی ژولیده است و ریش و سبیل پرپشتی دارد. او دستش را زیر چانه‌اش قرار داده و به نظر می‌رسد که ماسکی زیر چانه‌اش قرار دارد. پوست او روشن است و چهره‌اش دوستانه و آرام به نظر می‌رسد. لباس او تیره و بافت‌دار است.",images_clean\Amin_Zendegani_1399081718284111621576314.png
233,ژاله صامتی,"ژاله صامتی یک زن ایرانی است که در سال ۱۳۵۱ در تهران متولد شده است. او در زمینه بازیگری فعالیت می‌کند و در بسیاری از فیلم‌ها و سریال‌های ایرانی بازی کرده است. از جمله آثار او می‌توان به «دت یعنی دختر»، «دشت ارغوانی»، «مربی شیرین»، «قاعده بازی»، «حیران»، «رفیق بد»، «شیرین»، «نیش زنبور»، «عصر یخبندان»، «دراکولا»، «ایستگاه اتمسفر»، «در وجه حامل»، «درخونگاه»، «گلدن تایم»، «تگزاس ۲»، «حمال طلا»، «شب اول هجده سالگی»، «پسرکشی»، «حکم تجدیدنظر» و «شیشلیک» اشاره کرد.
در تصویر، فردی با لبخند دیده می‌شود. او موهای فرفری دارد که از زیر شال بیرون آمده‌اند. شال به رنگ تیره است و به دور سر پیچیده شده. پوست صورت روشن است و لب‌ها با رژ قرمز رنگ شده‌اند. چهره او حالتی شاد و دوستانه دارد. لباس او به رنگ آبی است.",images_clean\Filicide_movie_press_conference_2020-02-10_02.png
234,شاهرخ استخری,"شاهرخ استخری، بازیگر ایرانی، در سال ۱۳۵۹/۷/۱۴ در تهران متولد شد. او از سال ۱۳۸۰ تاکنون در این حرفه فعالیت کرده است. از جمله آثار شاخص او می‌توان به فیلم‌های «ساعت شلوغی»، «پس‌کوچه‌های شمرون» و «ماه و پلنگ» اشاره کرد.
این تصویر مردی را نشان می‌دهد که موهای تیره و نسبتاً پرپشتی دارد. موهای او به صورت نامرتب و حالت‌دار است. او ریش و سبیل کوتاهی دارد که به چهره‌اش حالت جدی و متفکری داده است. چشمان او به سمت پایین و به طرفی نگاه می‌کنند و ابروهایش کمی بالا رفته‌اند. او کت تیره‌ای به تن دارد و زیر آن پیراهنی روشن پوشیده است. حالت چهره‌اش آرام و کمی متفکر به نظر می‌رسد.",images_clean\250px-Mahe_Asal_casts_visits_FNA_office_-_7_April_2009_05.png
235,سیروس میمنت رنجبر,"سیروس میمنت رنجبر، بازیگر و فیلمنامه‌نویس ایرانی، در سال 1338 در کرمانشاه متولد شد. او از سال 1375 تاکنون در این دو زمینه فعالیت کرده است. از جمله آثار او می‌توان به فیلم‌های «معجزه خنده»، «حرفه‌ای» و «مرد عوضی» اشاره کرد. همچنین او در سریال‌های «فوتبالی‌ها»، «جاسم به جبهه می‌رود» و «خانه به دوش» نقش داشته است.
این فرد موهای خاکستری و موج‌دار دارد که به سمت عقب شانه شده‌اند. او سبیل سفید و پرپشتی دارد. چهره‌اش حالتی جدی و متفکرانه دارد. پوست صورتش روشن است و ابروهایش پرپشت و تیره به نظر می‌رسند. او یک کت تیره پوشیده است و در حال نگاه کردن به سمتی است.",images_clean\%D8%B3%DB%8C%D8%B1%D9%88%D8%B3_%D9%85%DB%8C%D9%85%D9%86%D8%AA.png
236,اکرم میرمحمدی خلیل‌آباد,"اکرم میرمحمدی خلیل‌آباد یک زن ایرانی است که در سال ۱۳۳۷ در شهر اراک متولد شده است. او در زمینه بازیگری فعالیت کرده و از دهه ۱۳۶۰ تاکنون در بسیاری از فیلم‌ها و سریال‌ها حضور داشته است. از جمله آثار او می‌توان به «دختری با کفش‌های کتانی»، «پای پیاده» و «مادر» اشاره کرد. او در این مدت در نقش‌های مختلفی ظاهر شده و توانسته است توجه مخاطبان را جلب کند. اکرم میرمحمدی خلیل‌آباد با تلاش و پشتکار خود در صنعت سینما و تلویزیون جایگاه ویژه‌ای پیدا کرده است.
این تصویر زنی را نشان می‌دهد که روسری سفید بر سر دارد. او عینک به چشم دارد و موهای روشنش از زیر روسری پیدا است. چهره‌اش با آرایش ملایمی همراه است و لب‌هایش رنگ قرمز دارند. او گوشواره‌های رنگی به گوش دارد و دستش را زیر چانه‌اش قرار داده است. لباسش تیره است و به نظر می‌رسد در حال تماشای چیزی است.",images_clean\Akram_Mohammadi_-_Artist.png
237,مهدی‌قلی فتحی,"مهدی‌قلی فتحی یک هنرمند ایرانی است که در سال 1318/9/25 در تهران متولد شد و تا سال 1382/12/29 فعال بود. وی در زمینه‌های هنرپیشگی و صداپیشگی فعالیت داشته است و در این مدت در پروژه‌های سینمایی و تلویزیونی حضور داشت و توانست به شهرت و محبوبیت دست یابد. از جمله آثار او می‌توان به فیلم‌های «به من نگاه کن»، «عزیزم من کوک نیستم» و «اعتراض» اشاره کرد.
این تصویر مردی را نشان می‌دهد که کلاهی بر سر دارد. او ریش و سبیل پرپشتی دارد که به رنگ خاکستری است. چهره‌اش حالتی دوستانه و گرم دارد و لبخندی بر لب دارد. او با دستش لبه کلاه را گرفته است. چشمانش حالتی مهربان و آرام دارند و ابروهایش نیز پرپشت هستند. پوست صورتش دارای چین و چروک‌های طبیعی است که نشان‌دهنده تجربه و سن بالاتر اوست.",images_clean\%D9%85%D9%87%D8%AF%DB%8C_%D9%81%D8%AA%D8%AD%DB%8C%DB%B1.png
238,مهدی فقیه,"مهدی فقیه یک بازیگر ایرانی است که در سال 1324 در شیراز متولد شده است. او در زمینه بازیگری در سینما، تلویزیون و تئاتر فعالیت داشته و در طول دهه‌های مختلف، در پروژه‌های سینمایی و تلویزیونی حضور داشته است. از جمله آثار شاخص او می‌توان به فیلم‌های «تابستان ۵۸»، «هور در آتش» و «تونل» اشاره کرد. همچنین او در سریال‌های «لیلی با من است» و «غزال» نقش‌های مهمی داشته است. فقیه در کنار بازیگری، در برخی از این پروژه‌ها نیز به نویسندگی و کارگردانی پرداخته است. در سال‌های اخیر، او در سریال‌های «آسمان هشتم»، «ضد گلوله» و «ماهی و برکه» به ایفای نقش پرداخته است.
متاسفانه در این تصویر چهره فرد مشخص نیست و فقط بخش بالاتنه او قابل مشاهده است. فرد یک کت و شلوار تیره به همراه پیراهن روشن پوشیده است و دست‌هایش را به هم قلاب کرده است.",images_clean\250px-%D9%85%D9%87%D8%AF%DB%8C_%D9%81%D9%82%DB%8C%D9%87%DB%B1.png
239,غلامحسین لطفی,"غلامحسین لطفی، بازیگر، نویسنده و کارگردان ایرانی، در سال 1328 در قزوین متولد شد. او از سال 1352 تاکنون در زمینه‌های بازیگری سینما، تلویزیون، نویسندگی و کارگردانی فعالیت داشته است. از جمله آثار او می‌توان به فیلم‌های «نارگیل۲»، «معراجی‌ها» و «ماهی طلایی من» اشاره کرد. لطفی همچنین در چندین سریال تلویزیونی مانند «پنجره»، «ساختمان پزشکان»، «ضیافت» و «آذربایجان» حضور داشته است. او در سال‌های اخیر به نویسندگی و کارگردانی فیلم‌های «ماجرای خانواده تمدن» و «آئینه» نیز پرداخته است.
متاسفم، نمی‌توانم بگویم این شخص کیست. اما می‌توانم چهره او را توصیف کنم. این فرد لبخند بر لب دارد و کلاه مشکی بر سر گذاشته است. او پیراهنی به رنگ آبی روشن به تن دارد. نورپردازی تصویر گرم و شبانه به نظر می‌رسد.",images_clean\Gholamhussein_Lotfi_2013-08-06.png
240,ایرج طهماسب,"ایرج طهماسب در سال 1338 در جهرم متولد شد. او در زمینه‌های بازیگری، فیلم‌نامه‌نویسی، کارگردانی، مجری‌گری تلویزیونی، عروسک‌گردانی، تدریس دانشگاهی و شعر فعالیت می‌کند. از جمله آثار او می‌توان به «سقائک»، «شانه‌به‌سر دانا»، «آسمون و ریسمون» و «مدرسه موش‌ها» اشاره کرد. طهماسب همچنین در سریال‌های «خانواده عجیب»، «هتل پُرستاره» و «کلاه‌قرمزی» نقش داشته است. او در فیلم‌های «صندوق پُست» و «اتل متل توتوله» نیز حضور داشته است. طهماسب در دهه شصت تاکنون فعال بوده و در این مدت آثار متعددی را خلق کرده است.
این تصویر مردی را نشان می‌دهد که موهای خاکستری و کم‌پشتی دارد. او سبیلی پرپشت دارد و چهره‌اش حالتی آرام و متفکرانه دارد. ابروهای او نسبتاً پرپشت هستند و چشمانش به سمت بالا نگاه می‌کنند. او کت تیره‌رنگی پوشیده است و زیر آن یک پلیور یا ژاکت به رنگ تیره به تن دارد. پوست صورت او روشن است و خطوطی روی پیشانی و اطراف دهانش دیده می‌شود که نشان‌دهنده تجربه و سن بالاتر است.",images_clean\Iraj_Tahmasb_2020.png
241,مهدی پاکدل,"مهدی پاکدل، بازیگر ایرانی، در سال 1359 در اصفهان متولد شد. او از سال 1376 تاکنون در زمینه بازیگری فعالیت داشته است. از جمله آثار او می‌توان به تارا، چهارراه استانبول، تنگه ابوقریب و ماجرای نیمروز اشاره کرد. او در فیلم‌های محمد رسول‌الله، گاهی، فردا، تمشک، آزاد راه، بدون اجازه، دایره زنگی، مخمصه، مصائب دوشیزه، شبانه، ماجراهای اینترنتی، ماهی‌ها عاشق می‌شوند، آبی، با من بمان، تله‌فیلم یک روز معمولی، مروارید سرخ، خاموشی دریا، اولین شب آرامش، ما چند نفر، بی‌گناهان، تله‌فیلم گزارش یک اعدام، تله‌فیلم استخوان، ضامن و تله‌فیلم دوباره بهار اشاره کرد.
این فرد دارای موهای خاکستری و مجعد است. او ریش و سبیل پرپشتی دارد که به رنگ خاکستری و مشکی است. چهره‌اش جدی به نظر می‌رسد و ابروهای پرپشتی دارد. پوست صورت او روشن است و در حال صحبت کردن به نظر می‌رسد، زیرا میکروفونی در جلوی او قرار دارد. او یک کاپشن سبز رنگ با یقه‌ی پشمی به تن دارد.",images_clean\250px-Mehdi_Pakdel-Sahar_Dolatshahi_%28cropped%29.png
242,پرویز پرستویی,"پرویز پرستویی یک هنرمند ایرانی است که در سال 1334 در کبودرآهنگ متولد شد. او در زمینه‌های بازیگری، خوانندگی و دوبله فعالیت دارد و از جمله آثار شاخص او می‌توان به فیلم‌های «دیار عاشقان»، «آژانس شیشه‌ای» و «بیست» اشاره کرد.
این تصویر مردی را نشان می‌دهد که موهای خاکستری و کم‌پشت دارد. او سبیلی پرپشت و خاکستری دارد. چهره‌اش جدی به نظر می‌رسد و ابروهایش نسبتاً پرپشت هستند. او یک پیراهن مشکی با لوگوی قرمز رنگ به تن دارد و در مقابل میکروفونی نشسته است. پوست صورتش روشن است و نگاهش مستقیم به دوربین است.",images_clean\Parviz_Parastui_1.png
243,چنگیز وثوقی,"چنگیز وثوقی یک هنرمند ایرانی است که در 10 دی 1326 در تهران متولد شده است. او در زمینهٔ هنرپیشه فعالیت کرده و از سال 1351 تاکنون در این زمینه مشغول به کار است. از جمله آثار او می‌توان به فیلم‌های جانان، عشقولانس، افسون گل سرخ و همچنین سریال‌های خط‌ها و سایه‌ها، شاهرگ و شب بخیر غریبه اشاره کرد.
این تصویر مردی را نشان می‌دهد که موهای کوتاه و تیره دارد. او سبیلی پرپشت دارد و لبخندی ملایم بر لب دارد. پوست او تیره است و چشمانش به سمت دوربین نگاه می‌کنند. او یک ژاکت با یقه پشمی به تن دارد و زیر آن یک پیراهن روشن پوشیده است. پس‌زمینه تصویر تار است و تمرکز بر روی چهره اوست.",images_clean\Googoosh%2BChangiz_Vosughi.png
