,id,bio,image_paths,image_paths_list,image_paths_abs
715,منوچهر حامدی,منوچهر حامدی، معروف به رضا حامدی خراسانی، در تاریخ ۴ مهر ۱۳۱۸ در تهران متولد شد و در تاریخ ۲ دی ۱۳۷۴ در عباس‌آباد تنکابن، مازندران درگذشت. او بازیگر تئاتر، سینما و تلویزیون بود. از فیلم‌های او می‌توان به «پاک‌باخته»، «حادثه در کندوان»، «قانون»، «گریز از مرگ»، «حامی»، «روز شیطان»، «رؤیای نیمه شب تابستان»، «عروسی خون»، «هدف»، «آخرین خون»، «پرتگاه»، «ترانزیت»، «من زمین را دوست دارم»، «تماس شیطانی»، «دو روی سکه»، «رابطه پنهانی»، «راز گل سرخ»، «شکوه بازگشت»، «قافله»، «مجسمه»، «مرد ناتمام»، «ردپای گرگ»، «آواز تهران»، «سیرک بزرگ»، «شانس زندگی»، «نقش عشق»، «آخرین مهلت»، «پرواز پنجم ژوئن»، «دو سرنوشت»، «فانی»، «مدرسه رجایی»، «وسوسه»، «زرد قناری»، «ستاره و الماس»، «گراند سینما»، «اجاره‌نشین‌ها»، «میهمانی خصوصی»، «آتش در زمستان»، «تفنگ شکسته»، «راه دوم»، «شکار در شب»، «صف»، «طائل»، «مردی که زیاد می‌دانست»، «مشت»، «یک روز گرم»، «پیک جنگل»، «کمال‌الملک»، «سفیر»، «پاشنه طلا»، «چشم انتظار»، «شبگرد»، «اوستا کریم نوکرتیم»، «کنیز»، «جبار سرجوخه فراری»، «جنگجویان کوچولو» و «ستاره‌ای چشمک زد» اشاره کرد. او همچنین در مجموعه‌های تلویزیونی «شلیک نهایی»، «سوخته‌دلان»، «آخرین ستاره شب»، «آتیه»، «بی‌بی‌یون»، «علی‌آقا ۱۲۱»، «نبردی دیگر»، «دهه انقلاب»، «هدف گم‌شده»، «آوای فاخته»، «خانه در آتش»، «لبخند زندگی»، «سنگ و شیشه»، «ضرب‌المثل‌ها»، «دردسر»، «زندگی»، «روزی روزگاری»، «ماجرا»، «جستجو»، «آذرستان»، «همراهان»، «پادشاه بیمار و مرد نیکوکار»، «با سلسله حکمت»، «درخت دوستی»، «گرگ‌ها»، «طبل توخالی»، «اشک تمساح»، «شاه‌دزد»، «ایتالیا ایتالیا»، «کیمیاگر»، «زیر بازارچه (مدعی العموم)» و «داش پالکی» نیز به ایفای نقش پرداخته است.مردی میانسال با صورت کشیده و سفیدپوست، بینی بزرگ و نسبتا برجسته، ابروهای پرپشت و خاکستری، موهای فر و خاکستری، سبیل ضخیم و خاکستری، بدون ریش. چشمان او عمیق و جدی به نظر می‌رسند.,"['images_clean\\Manouchehr_Hamedi.png', 'images_clean_v2\\Manouchehr_Hamedi.jpg']","['images_clean\\Manouchehr_Hamedi.png', 'images_clean_v2\\Manouchehr_Hamedi.jpg']","['/content/drive/MyDrive/images_clean/images_clean/Manouchehr_Hamedi.png', '/content/drive/MyDrive/images_clean_v2/Manouchehr_Hamedi.jpg']"
716,اسدالله یکتا,اسدالله یکتا، بازیگر و دستفروش، در تاریخ ۲۳ شهریور ۱۳۲۶ در تهران متولد شد. او در دوره زمانی ۱۳۴۰ تاکنون فعال بوده است. از آثار او می‌توان به فیلم‌هایی چون «عکس پائیزی» (۱۳۹۹)، «چند میگیری گریه کنی ۲» (۱۳۹۹)، «نارگیل» (۱۳۹۸)، «سامورایی در برلین» (۱۳۹۷)، «زندانی‌ها» (۱۳۹۷)، «تهران لندن» (۱۳۹۷)، «چهارراه استانبول» (۱۳۹۶)، «کویر آرام» (۱۳۹۶)، «دخمه» (۱۳۹۶)، «دارکوب» (۱۳۹۶)، «نهنگ عنبر ۲» (۱۳۹۵)، «خفگی» (۱۳۹۵)، «ماه تی تی» (۱۳۹۵)، «گشت ۲» (۱۳۹۵)، «رسوایی» (۱۳۹۱)، «نیکان و بچه غول» (۱۳۹۱)، «مهمان بابا» (۱۳۹۰)، «صداست که می‌ماند» (۱۳۹۰)، «ننه نقلی» (۱۳۹۰)، «کنسرت روی آب» (۱۳۸۹)، «ورود زنده‌ها ممنوع» (۱۳۸۸)، «صندلی خالی» (۱۳۸۷)، «استخوونای بابام» (۱۳۸۶)، «زن بدلی» (۱۳۸۵)، «اگه می‌تونی منو بگیر» (۱۳۸۵)، «چند می‌گیری گریه کنی» (۱۳۸۴)، «کوچولوی خوش‌شانس» (۱۳۸۳)، «گاهی به آسمان نگاه کن» (۱۳۸۱)، «بوی کافور، عطر یاس» (۱۳۷۸)، «عشق شیشه‌ای» (۱۳۷۸)، «تارهای نامریی» (۱۳۷۶)، «طالع سعد» (۱۳۷۴)، «کاکادو» (۱۳۷۳)، «مستأجر» (۱۳۷۱)، «دو همسفر» (۱۳۷۰)، «علی و غول جنگل» (۱۳۶۹)، «شنگول و منگول» (۱۳۶۸)، «هامون» (۱۳۶۸)، «زرخرید» (۱۳۵۷)، «حرفه‌ای» (۱۳۵۵)، «مردی در آتش» (۱۳۵۵)، «فرار از حجله» (۱۳۵۴)، «کوثر» (۱۳۵۳)، «صخره سیاه» (۱۳۵۲)، «عروس و مادرشوهر» (۱۳۵۲)، «هفت دلاور» (۱۳۵۲)، «آخرین نبرد» (۱۳۵۱)، «آشوبگر» (۱۳۵۱)، «خر دجال» (۱۳۵۱)، «یک میلیونر و دو مفلس» (۱۳۵۱)، «احساس داغ» (۱۳۵۰)، «احمد چکمه‌ای» (۱۳۵۰)، «رعد و برق» (۱۳۵۰)، «زیر بازارچه» (۱۳۵۰)، «شب عروسی» (۱۳۵۰)، «عزیز قرقی» (۱۳۵۰)، «وحشی جنگل» (۱۳۵۰)، «شاطر عباس» (۱۳۵۰)، «آدم و حوا» (۱۳۴۹)، «ارادتمند شما عزرائیل» (۱۳۴۹)، «بابا کرم» (۱۳۴۹)، «جعفر و گلنار» (۱۳۴۹)، «رسوایی» (۱۳۴۹)، «زیبای جیب‌بر» (۱۳۴۹)، «شهر هرت» (۱۳۴۹)، «عروس بیانکا» (۱۳۴۹)، «فریاد انسان‌ها» (۱۳۴۹)، «قهرمانان نمی‌میرند» (۱۳۴۹)، «بهشت دور نیست» (۱۳۴۸)، «دزد و پاسبان» (۱۳۴۹)، «ضرب شست» (۱۳۴۸)، «قصه دل‌ها» (۱۳۴۸)، «قهوه‌خانه قنبر» (۱۳۴۸)، «گربه کور» (۱۳۴۸)، «گناه زیبایی» (۱۳۴۸)، «فرجام» (۱۳۴۷)، «سالار مردان» (۱۳۴۷)، «قوس و قزح» (۱۳۴۷)، «کشتی نوح» (۱۳۴۷)، «عمو سبزی فروش» (۱۳۴۶)، «گل‌آقا» (۱۳۴۶)، «کلید بهشت» (۱۳۴۵)، «مراد ولاله» (۱۳۴۴) و همچنین مجموعه‌های تلویزیونی «بدل» (۱۴۰۳)، «مستوران» (۱۴۰۱)، «نیسان آبی» (۱۴۰۰)، «آخر خط» (۱۳۹۹)، «ستایش ۳» (۱۳۹۸)، «شرایط خاص» (۱۳۹۸)، «او مثبت» (۱۳۸۲)، «فوتبالیست‌ها» (۱۳۸۲)، «هزاران چشم» (۱۳۸۰)، «داستان یک زندگی» (۱۳۷۴)، «آپارتمان» (۱۳۷۱) و «چاق و لاغر» و «خندوانه» اشاره کرد.مردی با صورت کشیده و چروکیده، بینی بزرگ و کمی قوزدار، چشمان پف‌کرده، ابروهای نازک و پرپشت، موهای مشکی و کبود شده، با سبیل ضخیم و بدون ریش. به نظر می‌رسد در دهه ششم یا هفتم زندگی باشد.,"['images_clean\\250px-%D8%A7%D8%B3%D8%AF%D8%A7%D9%84%D9%84%D9%87_%DB%8C%DA%A9%D8%AA%D8%A7.png', 'images_clean_v2\\250px-%D8%A7%D8%B3%D8%AF%D8%A7%D9%84%D9%84%D9%87_%DB%8C%DA%A9%D8%AA%D8%A7.jpg']","['images_clean\\250px-%D8%A7%D8%B3%D8%AF%D8%A7%D9%84%D9%84%D9%87_%DB%8C%DA%A9%D8%AA%D8%A7.png', 'images_clean_v2\\250px-%D8%A7%D8%B3%D8%AF%D8%A7%D9%84%D9%84%D9%87_%DB%8C%DA%A9%D8%AA%D8%A7.jpg']","['/content/drive/MyDrive/images_clean/images_clean/250px-%D8%A7%D8%B3%D8%AF%D8%A7%D9%84%D9%84%D9%87_%DB%8C%DA%A9%D8%AA%D8%A7.png', '/content/drive/MyDrive/images_clean_v2/250px-%D8%A7%D8%B3%D8%AF%D8%A7%D9%84%D9%84%D9%87_%DB%8C%DA%A9%D8%AA%D8%A7.jpg']"
717,غزل شاکری شمیرانی,غزل شاکری شمیرانی، با نام مستعار «غزل بانکی»، زاده ۲۲ اسفند ۱۳۵۶ در تهران، در دوره‌ی ۱۳۶۶–اکنون فعالیت کرده و در زمینه‌های بازیگری، خوانندگی، طراحی صحنه و طراحی داخلی فعالیت دارد. از آثار او می‌توان به فیلم‌های «رها» (۱۴۰۳)، «روایت ناتمام سیما» (۱۴۰۱)، «سازهای ناکوک» (۱۳۹۸)، «زمانی یک زن» (۱۳۹۸)، «سارا و آیدا» (۱۳۹۵)، «آینه‌های روبرو» (۱۳۸۹)، «وقتی همه خواب بودند» (۱۳۸۴) و «گلنار» (۱۳۶۷) و همچنین «ماهی» (۱۳۶۶) اشاره کرد. وی همچنین در مجموعه‌های تلویزیونی «حتی اگر شب باشد» (۱۳۹۱) و «بانوی عمارت» (۱۳۹۷) و آثار نمایش خانگی «جیران» (۱۴۰۰)، «جزیره» (۱۴۰۰) و «خاتون» (۱۴۰۰) و «شهرزاد ۱» (۱۳۹۴) به ایفای نقش پرداخته است. او همچنین طراح صحنه و لباس در فیلم‌هایی چون «وقتی همه خواب بودند» (۱۳۸۴)، «گوشواره» (۱۳۸۵) و «آینه‌های روبرو» (۱۳۸۸) بوده و در تئاتر «کنسرت تئاتر در روزهای آخر اسفند» (۱۳۹۲) حضور داشته است. در حوزه ترانه‌شناسی نیز آثار «باران» (۱۳۷۹) از وی به یادگار مانده است.زنی با صورت بیضی شکل، بینی کوچک و مستقیم، چشمان قهوه‌ای بزرگ، ابروهای مرتب، موهای مشکی که با شال پوشانده شده و پوستی روشن. به نظر می‌رسد در دهه سوم زندگی باشد.,"['images_clean\\250px-Ghazal_Shakeri_13960202001938636284960947914282_49258_%28cropped%29.png', 'images_clean_v2\\250px-Ghazal_Shakeri_13960202001938636284960947914282_49258_%28cropped%29.jpg']","['images_clean\\250px-Ghazal_Shakeri_13960202001938636284960947914282_49258_%28cropped%29.png', 'images_clean_v2\\250px-Ghazal_Shakeri_13960202001938636284960947914282_49258_%28cropped%29.jpg']","['/content/drive/MyDrive/images_clean/images_clean/250px-Ghazal_Shakeri_13960202001938636284960947914282_49258_%28cropped%29.png', '/content/drive/MyDrive/images_clean_v2/250px-Ghazal_Shakeri_13960202001938636284960947914282_49258_%28cropped%29.jpg']"
718,محمود استادمحمد,محمود استادمحمد، نمایشنامه‌نویس، کارگردان تئاتر و بازیگر تئاتر، در تاریخ ۱۳۲۹/۸/۳ در تهران متولد شد و در تاریخ ۱۳۹۲/۵/۳ در تهران، بر اثر سرطان کبد، درگذشت. از آثار او می‌توان به «آسید کاظم»، «پژواک»، «گذر خلیل ده‌مرده»، «رسم زمانه»، «جنگ اطهر»، «دقیانوس امپراتور شهر اقیانوس»، «سیری محتوم»، «چهل پله تا مرگ»، «شب بیست و یکم»، «قصص القصر»، «آنها مأمور اعدام خود هستند»، «خونیان و خوزیان»، «گل یاس»، «خانه سالمندان»، «هم عکس»، «سیاه راه»، «سایه همسایه»، «همشاگردی‌ها»، «آخرین بازی»، «دیوان تئاتر ال»، «سپنج رنج و شکنج»، «عکس خانوادگی» و «در چشم باد» اشاره نمود.مردی با صورت کشیده، بینی متوسط، چشمان نیمه‌باز، ابروهای پرپشت و موی کوتاه و موج‌دار. فاقد سبیل و ریش، پوست روشن و تصویر سیاه‌وسفید به نظر می‌رسد.,"['images_clean\\Mahmoud_ostad_mohammad.png', 'images_clean_v2\\Mahmoud_ostad_mohammad.jpg']","['images_clean\\Mahmoud_ostad_mohammad.png', 'images_clean_v2\\Mahmoud_ostad_mohammad.jpg']","['/content/drive/MyDrive/images_clean/images_clean/Mahmoud_ostad_mohammad.png', '/content/drive/MyDrive/images_clean_v2/Mahmoud_ostad_mohammad.jpg']"
719,مریم روح‌پرور,مریم روح‌پرور، با نام مستعار «روحپرور»، «روح‌پرور نیروی هوایی»، «ام کلثوم ایران»، «تامارا» و «فرشته»، در سال ۱۳۱۱ در بندر انزلی، گیلان به دنیا آمد. او خواننده بود و در تاریخ ۱۲ دی ۱۳۶۶ به دلیل ناراحتی ریوی در تهران درگذشت. او متعلق به دوره دهه ۳۰ تا ۱۳۵۷ بود.زنی با صورت گرد، بینی کوچک و صاف، چشمان بزرگ با مژه‌های بلند، ابروهای مرتب و پرپشت، موی کوتاه و حجم‌دار. به نظر می‌رسد در دهه چهارم یا پنجم زندگی باشد.,"['images_clean\\Maryam_Roohparvar.png', 'images_clean_v2\\Maryam_Roohparvar.jpg']","['images_clean\\Maryam_Roohparvar.png', 'images_clean_v2\\Maryam_Roohparvar.jpg']","['/content/drive/MyDrive/images_clean/images_clean/Maryam_Roohparvar.png', '/content/drive/MyDrive/images_clean_v2/Maryam_Roohparvar.jpg']"
720,سید خلیل عالی‌نژاد,سید خلیل عالی‌نژاد، معروف به سید خلیل، در تاریخ ۱۳۳۶/۳/۲۱ در صحنه، استان کرمانشاه به دنیا آمد و در تاریخ ۱۳۸۰/۸/۲۷ در یوتبری درگذشت. او در دهه‌های ۶۰ و ۷۰ میلادی فعالیت داشت و به عنوان نوازنده، خواننده، شاعر و آهنگساز شناخته می‌شد. از آثار وی می‌توان به آلبوم‌های «صدای سخن عشق»، «آئین مستان»، «ثنای علی»، «زمزمهٔ قلندری»، «آیین قلندری» و «شکرانه» اشاره کرد. او همچنین در اجلاس هنرهای دینی در تهران در سال ۱۳۷۵ و جشنواره موسیقی حماسی در تالار اندیشه در سال ۱۳۷۶ به اجرای برنامه پرداخت. مراسم یادبود سالانه‌ای نیز به مناسبت سالگرد درگذشت وی در صحنه، کرمانشاه برگزار می‌شود.مردی با صورت گرد، ابروهای پرپشت و تیره، موهای مشکی و حالت نامرتب، ریش و سبیل ضخیم و مشکی. به نظر می‌رسد در دهه چهارم زندگی باشد.,"['images_clean\\%D8%B3%DB%8C%D8%AF_%D8%AE%D9%84%DB%8C%D9%84_%D8%B9%D8%A7%D9%84%DB%8C%E2%80%8C%D9%86%DA%98%D8%A7%D8%AF.png', 'images_clean_v2\\%D8%B3%DB%8C%D8%AF_%D8%AE%D9%84%DB%8C%D9%84_%D8%B9%D8%A7%D9%84%DB%8C%E2%80%8C%D9%86%DA%98%D8%A7%D8%AF.jpeg']","['images_clean\\%D8%B3%DB%8C%D8%AF_%D8%AE%D9%84%DB%8C%D9%84_%D8%B9%D8%A7%D9%84%DB%8C%E2%80%8C%D9%86%DA%98%D8%A7%D8%AF.png', 'images_clean_v2\\%D8%B3%DB%8C%D8%AF_%D8%AE%D9%84%DB%8C%D9%84_%D8%B9%D8%A7%D9%84%DB%8C%E2%80%8C%D9%86%DA%98%D8%A7%D8%AF.jpeg']","['/content/drive/MyDrive/images_clean/images_clean/%D8%B3%DB%8C%D8%AF_%D8%AE%D9%84%DB%8C%D9%84_%D8%B9%D8%A7%D9%84%DB%8C%E2%80%8C%D9%86%DA%98%D8%A7%D8%AF.png', '/content/drive/MyDrive/images_clean_v2/%D8%B3%DB%8C%D8%AF_%D8%AE%D9%84%DB%8C%D9%84_%D8%B9%D8%A7%D9%84%DB%8C%E2%80%8C%D9%86%DA%98%D8%A7%D8%AF.jpeg']"
721,محسن شریفیان,محسن شریفیان، خواننده، آهنگساز، نویسنده و نوازنده، در ۳۰ مهر ۱۳۵۴ در بوشهر به دنیا آمد. او در دورهٔ ۱۳۷۲ – تاکنون فعالیت داشته است. از آثار وی می‌توان به آلبوم‌های «لیانا» (۱۳۷۶)، «شپ» (۱۳۷۹)، «بندری» (۱۳۸۱)، «موج» (۱۳۸۳)، «سیراف» (۱۳۸۷)، «محلهٔ خمونی» (۱۳۸۸)، «خیام‌خوانی» (۱۳۸۸)، «شروه‌خوانی در بوشهر» (۱۳۸۹)، «پار و پیرار» (۱۳۸۹)، «موج» (۱۳۹۲)، «اهل ماتم» (۱۳۹۱)، «دینگو مارو» (۱۳۹۳)، «کنسرت تصویری لیان» (۱۳۹۴)، «نیمه‌خوانی» (۱۳۹۴)، «آلبوم تصویری لیان» (۱۳۹۶)، «سی‌دی آموزش نی‌انبان» (۱۳۹۶)، «موسیقی نوار ساحلی شیبکوه» (۱۳۹۷)، «موسیقی جزیرهٔ کیش» (۱۳۹۹)، «لوکا» (۱۴۰۰) و «موسیقی شمال بوشهر» (۱۴۰۱) اشاره کرد. او همچنین دبیر جشنواره نوای نواحی (۱۴۰۰) و اولین جشنواره موسیقی بین المللی ساز نی انبان در جزیره کیش بوده است. شریفیان در سال ۱۳۷۶ در ایالت‌های مختلف آمریکا اجرا داشته و در جام جهانی آلمان (۱۳۸۵)، المپیک پکن (۱۳۸۷)، اکسپوی شانگهای (۱۳۸۹)، اردن (۱۳۸۸)، روسیه (۱۳۸۷-۱۳۸۸)، امارات متحده عربی (۱۳۷۶-۱۳۸۲)، عمان (۱۳۸۰-۱۳۸۳)، کویت (۱۳۸۱)، قطر (۱۳۸۱-۱۳۸۹)، ترکمنستان (۱۳۸۰-۱۳۸۷)، ترکیه (۱۳۸۲)، بحرین (۱۳۸۲)، سنگاپور (۱۳۸۴)، مالزی (۱۳۸۹-۱۳۹۲)، یونان (۱۳۸۹-۱۳۹۱)، بلاروس (۱۳۹۰)، الجزایر (۱۳۹۱)، سوئد (۱۳۹۰-۱۳۹۲)، نروژ (۱۳۹۲)، چین (۱۳۹۶-۱۳۹۸)، اتریش (۱۳۹۶-۱۳۹۷)، اسپانیا (۱۳۹۶)، اسکاتلند (۱۳۹۷-۱۳۹۸)، انگلیس (۱۳۹۷-۱۳۹۸)، هند (۱۳۹۷)، بلژیک (۱۳۹۸)، فرانسه (۱۴۰۰)، مالزی (۱۴۰۱)، کانادا (۱۴۰۲)، استرالیا (۱۴۰۲) و ترکیه (۱۴۰۳) اجرا داشته است. همچنین در ۳۰ دی ۱۳۹۸ به خاطر کنسرت ۳۰ دی ماه سال ۱۳۹۸ شمسی، تقدیم یک قطعه به جانباختگان آبان و اجرای رقص آیینی، احضار به دادگاه فرهنگ و رسانه شد.مردی با صورت بیضی شکل، بینی متوسط، چشمان مشخص، ابروهای پرپشت، موهای سیاه و موج‌دار، بدون سبیل و ریش. به نظر می‌رسد در دهه چهارم یا پنجم زندگی باشد.,"['images_clean\\Mohsen_Sharifian.png', 'images_clean_v2\\Mohsen_Sharifian.jpg']","['images_clean\\Mohsen_Sharifian.png', 'images_clean_v2\\Mohsen_Sharifian.jpg']","['/content/drive/MyDrive/images_clean/images_clean/Mohsen_Sharifian.png', '/content/drive/MyDrive/images_clean_v2/Mohsen_Sharifian.jpg']"
722,توماج صالحی,توماج صالحی، خواننده، ترانه‌نویس و رپر، در ۱۲ آذر ۱۳۶۹ در بروجن، استان چهارمحال و بختیاری به دنیا آمد. او در دوره ۱۳۹۶ تا اکنون فعال بوده است. از آثار او می‌توان به «تیفوس»، «شین»، «فال»، «میدون جنگ»، «حبهٔ انگور»، «گاپون»، «افسون»، «ببخشید»، «شلاق»، «پیچک»، «کارون»، «هیروشیما»، «نقطه کور»، «ندیدی ۲»، «طناب دار»، «سیر تا پیاز»، «بازمانده»، «فرشید»، «تاس»، «ترکمانچای»، «سوراخ موش»، «انار»، «نرمال»، «یاقوت»، «تانتو»، «موش»، «درد»، «چه» و «ندیدی» اشاره کرد. او در طول فعالیت خود رویدادهایی مانند بازداشت در تاریخ ۲۱ خرداد ۱۴۰۰ در اصفهان که به انتقال او به زندان دستگرد منجر شد، آزادی با قرار کفالت در ۳۰ خرداد ۱۴۰۰، محکومیت تعلیقی در ۳ آبان ۱۴۰۰ در شاهین‌شهر، انتشار تصویر در اعتراضات در آبان ۱۴۰۱، بازداشت در ۸ آبان ۱۴۰۱ در استان چهارمحال و بختیاری، انتشار اعترافات اجباری، محکومیت به محاربه و افساد فی‌الارض، صدور حکم ۶ سال و ۳ ماه زندان در ۱۹ تیر ۱۴۰۲، آزادی موقت در ۲۷ آبان ۱۴۰۲ از زندان دستگرد اصفهان، بازداشت مجدد در ۹ آذر ۱۴۰۲ در بابل، حکم بدوی اعدام در ۵ اردیبهشت ۱۴۰۳ در دادگاه انقلاب اصفهان و نقض حکم اعدام در ۲ تیر ۱۴۰۳ در دیوان عالی کشور را تجربه کرده است. همچنین در ۱۱ شهریور ۱۴۰۳ آزاد شد.مردی با صورت نسبتا بیضی شکل، بینی متوسط، چشمانی نیمه‌باز، ابروهای متوسط، موی پوشیده با کلاه و ریش و سبیل کوتاه. به نظر می‌رسد در دهه سوم زندگی باشد.,"['images_clean\\250px-Toomaj_Salehi.png', 'images_clean_v2\\250px-Toomaj_Salehi.jpg']","['images_clean\\250px-Toomaj_Salehi.png', 'images_clean_v2\\250px-Toomaj_Salehi.jpg']","['/content/drive/MyDrive/images_clean/images_clean/250px-Toomaj_Salehi.png', '/content/drive/MyDrive/images_clean_v2/250px-Toomaj_Salehi.jpg']"
723,سعید شهروز,سعید شهروز، ملقب به شهروز، در تاریخ ۱۶ اردیبهشت ۱۳۵۰ در نهاوند، همدان متولد شد. او به‌عنوان خواننده و آهنگساز فعالیت می‌کند و از آثار شاخص او می‌توان به آلبوم‌های «پسرای مشرقی» (۱۳۷۸)، «غزلک» (۱۳۷۹)، «نقره‌داغ» (۱۳۸۰)، «جون من و جون شما» (۱۳۸۱)، «گلابتون» (۱۳۸۲)، «معبد» (۱۳۸۳)، «پسرم» (۱۳۸۴)، «بی‌خوابی» (۱۳۸۷) و «۷۹» (۱۳۹۴) اشاره نمود. وی در دوران ۱۳۷۰ و ۱۳۸۰ نیز فعالیت داشته است.مردی با صورت گرد، بینی متوسط، چشمان قهوه‌ای، ابروهای کم‌پشت، موهای کوتاه و مشکی، بدون سبیل و ریش با پوست روشن. به نظر می‌رسد در دهه سوم یا چهارم زندگی باشد.,"['images_clean\\Saeid_Shahrouz.png', 'images_clean_v2\\Saeid_Shahrouz.jpg']","['images_clean\\Saeid_Shahrouz.png', 'images_clean_v2\\Saeid_Shahrouz.jpg']","['/content/drive/MyDrive/images_clean/images_clean/Saeid_Shahrouz.png', '/content/drive/MyDrive/images_clean_v2/Saeid_Shahrouz.jpg']"
724,ابوالحسن خوشرو ساروکلائی,ابوالحسن خوشرو ساروکلائی، معروف به «خوشرو» و «مشتی»، در ۱۴ دی ماه ۱۳۲۵ در قائم‌شهر، مازندران متولد شد و در ۱۰ اسفند ۱۳۹۸ درگذشت. او به‌عنوان خواننده و نوازنده فعالیت می‌کرد. از آثار او می‌توان به آلبوم‌های «شاباجی»، «خنش»، «امیری کوتاه و بلند و طالبا (مرکز)»، «خوشرو خوانش»، «رونما»، «طالبا»، «آلاشت دیار»، «دماوند»، «موسیقی مازندرانی»، «نرگس جار»، «تش سو»، «آفتاب ته»، «کوچ»، «حامد»، «هژبرخوانی»، «شوار»، «رقص‌های مازندران»، «مادرمه» و تک آهنگ «مشتی» اشاره کرد. در سال ۱۳۳۹ گروه موسیقی را با همکاری برادرانش و احمد محسن‌پور تشکیل داد. در سال ۱۳۴۵ همکاری با رادیو مازندران را آغاز کرد و در سال ۱۳۵۰ گروه موسیقی روجا را تأسیس نمود. در سال ۱۳۹۷ مراسم گرامی‌داشت او در قائم‌شهر برگزار شد و در «جشنوارهٔ موسیقی آینه‌دار» تندیس «سرو» به وی اهدا گردید. در سال ۱۳۹۸ نیز در مراسم تجلیل از نخبگان روستای قادی‌کلای بزرگ حضور یافت.مردی مسن با صورت گرد، بینی پهن و نسبتا بزرگ، چشمان کوچک، ابروهای کم‌پشت، موهای خاکستری کم‌پشت، بدون سبیل و ریش، با پوست روشن. به نظر می‌رسد در دهه هفتم زندگی باشد.,"['images_clean\\%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D8%AD%D8%B3%D9%86_%D8%AE%D9%88%D8%B4%D8%B1%D9%88.png', 'images_clean_v2\\%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D8%AD%D8%B3%D9%86_%D8%AE%D9%88%D8%B4%D8%B1%D9%88.jpg']","['images_clean\\%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D8%AD%D8%B3%D9%86_%D8%AE%D9%88%D8%B4%D8%B1%D9%88.png', 'images_clean_v2\\%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D8%AD%D8%B3%D9%86_%D8%AE%D9%88%D8%B4%D8%B1%D9%88.jpg']","['/content/drive/MyDrive/images_clean/images_clean/%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D8%AD%D8%B3%D9%86_%D8%AE%D9%88%D8%B4%D8%B1%D9%88.png', '/content/drive/MyDrive/images_clean_v2/%D8%A7%D8%A8%D9%88%D8%A7%D9%84%D8%AD%D8%B3%D9%86_%D8%AE%D9%88%D8%B4%D8%B1%D9%88.jpg']"
725,بیژن مرتضوی,بیژن مرتضوی، موسیقی‌دان، آهنگساز، تنظیم‌کننده، نوازنده ویولن و خواننده معاصر، در ۲۵ شهریور ۱۳۳۶ در ساری، مازندران به دنیا آمد. از آثار او می‌توان به آلبوم‌های «بیژن مرتضوی ۱» (۱۳۶۸)، «بیژن مرتضوی ۲» (۱۳۷۰)، «بیژن مرتضوی ۳ (بی‌کلام و باکلام)» (۱۳۷۳)، «کنسرت گریک تئاتر» (۱۳۷۴)، «آتش روی یخ (بی‌کلام و با کلام)» (۱۳۷۵)، «بوی خوش عشق» (۱۳۷۷)، «آواز خاموش» (۱۳۷۹)، «یه قطره دریا» (۱۳۸۲)، «به‌من چه» (۱۳۸۵)، «موسیقی و من» (۱۳۸۹)، «پرواز ققنوس» (۱۴۰۰) و «کمپ رپ (ویولن رپ)» (۱۴۰۲) اشاره کرد. در سال ۱۳۷۳، او اولین هنرمند ایرانی بود که در گریک تیتر به اجرای برنامه پرداخت. همچنین در سال ۱۳۳۶، گروه ارکستر ۳۲ نفری خود را در اردوی تابستانی رامسر تشکیل داد و ساخته‌هایش را به اجرا گذاشت. در اسفند ۱۳۹۹ به دلیل ابتلا به کرونا در بیمارستان بستری شد و در ۱۰ خرداد ۱۴۰۲ همسر و مدیر برنامه‌هایش پس از عمل جراحی مغز در ترکیه درگذشت. وی در بهمن ۱۴۰۳ با نرگس فرخ ازدواج مجدد کرد.,"['images_clean\\250px-Bijan_Mortazavi.png', 'images_clean_v2\\250px-Bijan_Mortazavi.jpg']","['images_clean\\250px-Bijan_Mortazavi.png', 'images_clean_v2\\250px-Bijan_Mortazavi.jpg']","['/content/drive/MyDrive/images_clean/images_clean/250px-Bijan_Mortazavi.png', '/content/drive/MyDrive/images_clean_v2/250px-Bijan_Mortazavi.jpg']"
